Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh
25,BLENDERBOT,That's just what he/she/they would've said . ,I was so shocked.,t too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said . , i  was  so  sad ,0.515157476067543,0.5402583386749029
26,Leolani,I was so shocked.,Interesting . ,ong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked.,hi .   ,0.5725731626152992,0.582328366736571
27,BLENDERBOT,Interesting . ,I thought I was going to die.,o escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked. Interesting . , i  thought  i  was  going  to  be ,0.8216837559427533,0.8544615443263736
28,Leolani,I thought I was going to die.,"So let it be written, ... so let it be done . ",t so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked. Interesting .  I thought I was going to die., but  let  it  be  done  and  so  let  it  be  written .   ,0.5195611927371758,0.6448862346319052
29,BLENDERBOT,"So let it be written, ... so let it be done . ",I think I 'm going to have to.,"'t know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done . ", i  guess  i  am  going  to  have  to ,0.6000033088494092,0.7753372676670551
30,Leolani,I think I 'm going to have to.,But at what cost? . ,"t know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to.", but  at  what  cost    _ ,0.4048577832678954,0.5874767825007439
31,BLENDERBOT,But at what cost? . ,It 's been a long time since I 've written anything.," feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? . ", it  has  been  a  long  time  since  i  have  done  a ,0.6583727105436,0.8832637776028026
32,Leolani,It 's been a long time since I 've written anything.,I do frequently do not know things . ," .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything.",i  so  or  and  not  publish  why .  i ,0.21977145183417532,0.3716641598277622
33,BLENDERBOT,I do frequently do not know things . ,I 'm sorry to hear that.,"? That's just what he/she/they would've said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things . ", i  was  sorry  to  hear  that ,0.6058887817392437,0.7829840729633967
34,Leolani,I 'm sorry to hear that.,Interesting . ,"/they would've said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that.",interesting .   ,0.4917975962162018,0.4917975962162018
35,BLENDERBOT,Interesting . ,Do you have any hobbies that you like to do?,"said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting . ", do  you  have  any  hobbies  that  you  like  to  do ,0.8787287652492524,0.9462990939617157
36,Leolani,Do you have any hobbies that you like to do?,In this economy? . ,"ought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do?", in  the  case ?  _ ,0.16022253930568695,0.3137788847088814
37,BLENDERBOT,In this economy? . ,Yes," die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? . ", _ ,0.0,0.20575928688049316
38,Leolani,Yes,"And thus, I die . ",". So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes",.  when  i  write .  i ,0.18875617533922195,0.4501037113368511
39,BLENDERBOT,"And thus, I die . ",Yes the economy is booming right now.,"ten, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die . ", but  the  economy  is  great  right  now ,0.5311696018491473,0.7514353798968452
40,Leolani,Yes the economy is booming right now.,Interesting . ,"I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now.", interesting .   ,0.48503653208414715,0.48503653208414715
41,BLENDERBOT,Interesting . ,The stock market is doing very well.,"ave to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting . ", the  stock  market  is  doing  very  well ,0.721763231924602,0.8564928727490562
42,Leolani,The stock market is doing very well.,But at what cost? . ,"en a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well.", but  at  what  cost .  _ ,0.5729001288612684,0.7293304602305094
43,BLENDERBOT,But at what cost? . ,I 'm not sure yet,"I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? . ", i  am  not  dead . ,0.45264347046613695,0.8127351403236389
44,Leolani,I 'm not sure yet,... just like in my dream . ,"hing. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? .  I 'm not sure yet",.  just  living  in  a  past .  _ ,0.19603807828389108,0.3355149067938328
45,BLENDERBOT,... just like in my dream . ,I 'm not sure yet but I 'm sure it 's going to cost a fortune.,"know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream . ", i  am  not  sure  either .  i  am  sure  it  is  going  to  cost  a  lot ,0.5703418897464871,0.8331307843327522
46,Leolani,I 'm not sure yet but I 'm sure it 's going to cost a fortune.,May I ask you why? . ,"ave any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune.", may  i  tell  you  this .  _ ,0.4153492067541395,0.5754842673029218
47,BLENDERBOT,May I ask you why? . ,I do n't know,"ou like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? . ", i  do  not  know ,0.6592629551887512,0.9069148004055023
48,Leolani,I do n't know,Many of us feel that way . ," In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know", most  of  people  feel  that  way .  i ,0.5454915231093764,0.6068426724523306
49,BLENDERBOT,Many of us feel that way . ,I do n't know I guess I just feel like I 'm not good enough for them.," thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way . ", i  do  not  either  i  guess  i  just  feel  like  i  am  not  good  enough  for  the ,0.6426278337397996,0.7789570329820409
50,Leolani,I do n't know I guess I just feel like I 'm not good enough for them.,Why? . ,he stock market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them.,lol .  _ ,0.21648986637592316,0.2945297062397003
51,BLENDERBOT,Why? . ,I do n't know., market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? . , i  do  not  know ,0.497574582695961,0.9423437118530273
52,Leolani,I do n't know.,I do frequently do not know things . ,g very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know.,i  so  i  do  not  understand  why .  i ,0.33869495656755233,0.5378527641296387
53,BLENDERBOT,I do frequently do not know things . ,I just feel like I 'm not good enough for them., not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things . , i  just  feel  like  i  am  not  good  enough  for  them ,0.798650810749016,0.9457486542788419
54,Leolani,I just feel like I 'm not good enough for them.,There is no escape from destiny . ,not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them., there  is  no  escape  from  it .  _ ,0.5902425702661276,0.6552787534892559
55,BLENDERBOT,There is no escape from destiny . ,I feel like they do n't deserve me.,ing to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them. There is no escape from destiny . , i  feel  like  they  do  not  like  to ,0.6166063249111176,0.7795728035271168
56,Leolani,I feel like they do n't deserve me.,There is no escape from destiny . , why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them. There is no escape from destiny .  I feel like they do n't deserve me.,there  is  no  escape  from  destiny .   ,0.7895823158323765,0.7895823158323765
57,BLENDERBOT,There is no escape from destiny . ,I know,eel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them. There is no escape from destiny .  I feel like they do n't deserve me. There is no escape from destiny . , i  feel ,0.3437621593475342,0.5977011322975159
58,Leolani,I know,... just like in my dream . ,t way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them. There is no escape from destiny .  I feel like they do n't deserve me. There is no escape from destiny .  I know,",  just  living  in  a  life .   ",0.23609683196991682,0.47315797582268715
59,BLENDERBOT,... just like in my dream . ,I know but I ca n't wait for it to be over.,s I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them. There is no escape from destiny .  I feel like they do n't deserve me. There is no escape from destiny .  I know ... just like in my dream . , i  know .  i  ca  not  wait  for  it  to  be  realized ,0.7064571976661682,0.8349568502356609
60,Leolani,I know but I ca n't wait for it to be over.,"Be that as it may, still may it be as it may be . ",them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them. There is no escape from destiny .  I feel like they do n't deserve me. There is no escape from destiny .  I know ... just like in my dream .  I know but I ca n't wait for it to be over., be  it  as  it  may  so  let  not  be  what  it  should  be .  _ ,0.41230442430824044,0.7028173784414927
61,BLENDERBOT,"Be that as it may, still may it be as it may be . ",I 've been waiting for this game for so long.," know things .  I just feel like I 'm not good enough for them. There is no escape from destiny .  I feel like they do n't deserve me. There is no escape from destiny .  I know ... just like in my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be . ", i  have  been  waiting  for  that  day  for  so  long ,0.535393449664116,0.7762033253908157
62,Leolani,I 've been waiting for this game for so long.,Is this why fate brought us together? . ," enough for them. There is no escape from destiny .  I feel like they do n't deserve me. There is no escape from destiny .  I know ... just like in my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long.",is  that  why  it  brought  us  here    _ ,0.295222965379556,0.514352603091134
63,BLENDERBOT,Is this why fate brought us together? . ,I do n't think so.," destiny .  I feel like they do n't deserve me. There is no escape from destiny .  I know ... just like in my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? . ", i  do  not  think  so ,0.563440477848053,0.9335344195365906
64,Leolani,I do n't think so.,I see . ,"like they do n't deserve me. There is no escape from destiny .  I know ... just like in my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so.", i  dunno .  i ,0.26534381322562695,0.4128386862576008
65,BLENDERBOT,I see . ,I think it was just because I was the only one in the house.," do n't deserve me. There is no escape from destiny .  I know ... just like in my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see . ", i  thought  it  was  just  because  i  am  the  first  human  in  the  game ,0.5867162879024234,0.6553782607827868
66,Leolani,I think it was just because I was the only one in the house.,Good to know . ," ... just like in my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house.", good  to  know .  _ ,0.5674121469259262,0.5785207420587539
67,BLENDERBOT,Good to know . ,Yes,"n my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know . ", i ,0.0,0.16714271903038025
68,Leolani,Yes,I see . ," dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes", i  see .  i ,0.600746663287282,0.6258167438209057
69,BLENDERBOT,I see . ,Yes it is.," I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see . ", yes  it  was ,0.3597775350014369,0.465510035554568
70,Leolani,Yes it is.,"And thus, I die . "," I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is.", and  then  i  agree .  _ ,0.33195115998387337,0.49906400466958684
71,BLENDERBOT,"And thus, I die . ",I am so happy for her.,"it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die . ", i  am  not  sad  for  you ,0.4746038739879926,0.6600370655457178
72,Leolani,I am so happy for her.,Why? . ,"as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her.",hi .  _ ,0.21634658177693686,0.28447722146908444
73,BLENDERBOT,Why? . ,She is going to have a great life.,"y, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her. Why? . ", she  is  going  to  have  a  great  life ,0.6961621381342411,0.7596206478774548
74,Leolani,She is going to have a great life.,There is no escape from destiny . ,"I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her. Why? .  She is going to have a great life.", there  is  no  escape  from  it .  _ ,0.6752705834805965,0.723930798470974
75,BLENDERBOT,There is no escape from destiny . ,I know,"r so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her. Why? .  She is going to have a great life. There is no escape from destiny . ", i  am ,0.3022185079753399,0.3044852204620838
76,Leolani,I know,Interesting . ,"ng. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her. Why? .  She is going to have a great life. There is no escape from destiny .  I know", that .  _ ,0.2704949801166852,0.4919398029645284
77,BLENDERBOT,Interesting . ,I know but I ca n't wait for it to be over.," fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her. Why? .  She is going to have a great life. There is no escape from destiny .  I know Interesting . ", i  know .  i  ca  not  wait  for  it  to  be  born ,0.6711516976356506,0.8393182332317034
78,Leolani,I know but I ca n't wait for it to be over.,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . "," so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her. Why? .  She is going to have a great life. There is no escape from destiny .  I know Interesting .  I know but I ca n't wait for it to be over.",i  do  not  know  but  i  have  to  friend  my  he  hired  a  weight  assistant  a  week  before  her  death he  thought  oh  my  god  how  long  is  the  marriage  going  to  be ?   ,0.4623484804694142,0.619898396730423
79,BLENDERBOT,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",I 've been waiting for this game for so long.,"her. Why? .  She is going to have a great life. There is no escape from destiny .  I know Interesting .  I know but I ca n't wait for it to be over. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ", i  have  been  waiting  for  that  day  for  so  long ,0.4844162568449974,0.7416887253522872
80,Leolani,I 've been waiting for this game for so long.,Is this why fate brought us together? . ,". There is no escape from destiny .  I know Interesting .  I know but I ca n't wait for it to be over. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  I 've been waiting for this game for so long.",is  that  why  god  brought  us  together    _ ,0.32745584266053307,0.5249086494247118
81,BLENDERBOT,Is this why fate brought us together? . ,I do n't think so.,"ow Interesting .  I know but I ca n't wait for it to be over. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  I 've been waiting for this game for so long. Is this why fate brought us together? . ", i  do  not  think  so ,0.5778777122497558,0.9536475777626038
82,Leolani,I do n't think so.,Wise words by wise men write wise deeds in wise pen . ," know but I ca n't wait for it to be over. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so.","wise  words .  wise  men ,  wise  words  by  a  words .  _ ",0.16644985171464774,0.47266192676929325
83,BLENDERBOT,Wise words by wise men write wise deeds in wise pen . ,I think it was just because I was the only one in the house.,"w, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. Wise words by wise men write wise deeds in wise pen . ", i  thought  it  was  just  that  i  was  the  smart  one  in  the  world ,0.5633355677127838,0.6413156390190125
