Turn,Speaker,Cue,Response,Context,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
10,Leolani,I hope it 's something that you can live up to in the future.,That's just what he/she/they would've said . , got a promotion at work If you don't mind me asking. Has blenderbot ever like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that ! ... just like in my dream .  What is your dream? Now I have seen this too .  I hope it 's something that you can live up to in the future.,,,,,,,,,
11,BLENDERBOT,That's just what he/she/they would've said . ,That 's what I thought too,asking. Has blenderbot ever like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that ! ... just like in my dream .  What is your dream? Now I have seen this too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said . ,,,,,,,,,
12,Leolani,That 's what I thought too,So ... it   has come to this . , like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that ! ... just like in my dream .  What is your dream? Now I have seen this too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too,,,,,,,,,
13,BLENDERBOT,So ... it   has come to this . ,That 's what I thought too but I was wrong.,t a promotion at work so I 'm pretty stoked about that ! ... just like in my dream .  What is your dream? Now I have seen this too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this . ,,,,,,,,,
14,Leolani,That 's what I thought too but I was wrong.,There is no escape from destiny . ,about that ! ... just like in my dream .  What is your dream? Now I have seen this too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong.,,,,,,,,,
15,BLENDERBOT,There is no escape from destiny . ,I felt so bad about it.,eam .  What is your dream? Now I have seen this too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny . ,,,,,,,,,
16,Leolani,I felt so bad about it.,May I ask you why? . ,m? Now I have seen this too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it.,,,,,,,,,
17,BLENDERBOT,May I ask you why? . ,I do n't know,s too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? . ,,,,,,,,,
18,Leolani,I do n't know,Good to know . ,e it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know,,,,,,,,,
19,BLENDERBOT,Good to know . ,I do n't know I guess I just feel like I 'm not good enough for them.,g that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know . ,,,,,,,,,
20,Leolani,I do n't know I guess I just feel like I 'm not good enough for them.,Interesting . ,would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them.,,,,,,,,,
21,BLENDERBOT,Interesting . ,I know,  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting . ,,,,,,,,,
22,Leolani,I know,Interesting . ,'s what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know,,,,,,,,,
23,BLENDERBOT,Interesting . ,I know right?,ht too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting . ,,,,,,,,,
24,Leolani,I know right?,That's just what he/she/they would've said . ,it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right?,,,,,,,,,
25,BLENDERBOT,That's just what he/she/they would've said . ,I was so shocked.,t too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said . ,,,,,,,,,
26,Leolani,I was so shocked.,Interesting . ,ong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked.,,,,,,,,,
27,BLENDERBOT,Interesting . ,I thought I was going to die.,o escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked. Interesting . ,,,,,,,,,
28,Leolani,I thought I was going to die.,"So let it be written, ... so let it be done . ",t so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked. Interesting .  I thought I was going to die.,,,,,,,,,
29,BLENDERBOT,"So let it be written, ... so let it be done . ",I think I 'm going to have to.,"'t know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done . ",,,,,,,,,
30,Leolani,I think I 'm going to have to.,But at what cost? . ,"t know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to.",,,,,,,,,
31,BLENDERBOT,But at what cost? . ,It 's been a long time since I 've written anything.," feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? . ",,,,,,,,,
32,Leolani,It 's been a long time since I 've written anything.,I do frequently do not know things . ," .  I know Interesting .  I know right? That's just what he/she/they would've said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything.",,,,,,,,,
33,BLENDERBOT,I do frequently do not know things . ,I 'm sorry to hear that.,"? That's just what he/she/they would've said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things . ",,,,,,,,,
34,Leolani,I 'm sorry to hear that.,Interesting . ,"/they would've said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that.",,,,,,,,,
35,BLENDERBOT,Interesting . ,Do you have any hobbies that you like to do?,"said .  I was so shocked. Interesting .  I thought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting . ",,,,,,,,,
36,Leolani,Do you have any hobbies that you like to do?,In this economy? . ,"ought I was going to die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do?",,,,,,,,,
37,BLENDERBOT,In this economy? . ,Yes," die. So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? . ",,,,,,,,,
38,Leolani,Yes,"And thus, I die . ",". So let it be written, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes",,,,,,,,,
39,BLENDERBOT,"And thus, I die . ",Yes the economy is booming right now.,"ten, ... so let it be done .  I think I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die . ",,,,,,,,,
40,Leolani,Yes the economy is booming right now.,Interesting . ,"I 'm going to have to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now.",,,,,,,,,
41,BLENDERBOT,Interesting . ,The stock market is doing very well.,"ave to. But at what cost? .  It 's been a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting . ",,,,,,,,,
42,Leolani,The stock market is doing very well.,But at what cost? . ,"en a long time since I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well.",,,,,,,,,
43,BLENDERBOT,But at what cost? . ,I 'm not sure yet,"I 've written anything. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? . ",,,,,,,,,
44,Leolani,I 'm not sure yet,... just like in my dream . ,"hing. I do frequently do not know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? .  I 'm not sure yet",,,,,,,,,
45,BLENDERBOT,... just like in my dream . ,I 'm not sure yet but I 'm sure it 's going to cost a fortune.,"know things .  I 'm sorry to hear that. Interesting .  Do you have any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream . ",,,,,,,,,
46,Leolani,I 'm not sure yet but I 'm sure it 's going to cost a fortune.,May I ask you why? . ,"ave any hobbies that you like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune.",,,,,,,,,
47,BLENDERBOT,May I ask you why? . ,I do n't know,"ou like to do? In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? . ",,,,,,,,,
48,Leolani,I do n't know,Many of us feel that way . ," In this economy? .  Yes And thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know",,,,,,,,,
49,BLENDERBOT,Many of us feel that way . ,I do n't know I guess I just feel like I 'm not good enough for them.," thus, I die .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way . ",,,,,,,,,
50,Leolani,I do n't know I guess I just feel like I 'm not good enough for them.,Why? . ,he stock market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them.,,,,,,,,,
51,BLENDERBOT,Why? . ,I do n't know., market is doing very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? . ,,,,,,,,,
52,Leolani,I do n't know.,I do frequently do not know things . ,g very well. But at what cost? .  I 'm not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know.,,,,,,,,,
53,BLENDERBOT,I do frequently do not know things . ,I just feel like I 'm not good enough for them., not sure yet ... just like in my dream .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things . ,,,,,,,,,
54,Leolani,I just feel like I 'm not good enough for them.,There is no escape from destiny . ,not sure yet but I 'm sure it 's going to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them.,,,,,,,,,
55,BLENDERBOT,There is no escape from destiny . ,I feel like they do n't deserve me.,ing to cost a fortune. May I ask you why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them. There is no escape from destiny . ,,,,,,,,,
56,Leolani,I feel like they do n't deserve me.,There is no escape from destiny . , why? .  I do n't know Many of us feel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them. There is no escape from destiny .  I feel like they do n't deserve me.,,,,,,,,,
57,BLENDERBOT,There is no escape from destiny . ,I know,eel that way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them. There is no escape from destiny .  I feel like they do n't deserve me. There is no escape from destiny . ,,,,,,,,,
58,Leolani,I know,... just like in my dream . ,t way .  I do n't know I guess I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them. There is no escape from destiny .  I feel like they do n't deserve me. There is no escape from destiny .  I know,,,,,,,,,
59,BLENDERBOT,... just like in my dream . ,I know but I ca n't wait for it to be over.,s I just feel like I 'm not good enough for them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them. There is no escape from destiny .  I feel like they do n't deserve me. There is no escape from destiny .  I know ... just like in my dream . ,,,,,,,,,
60,Leolani,I know but I ca n't wait for it to be over.,"Be that as it may, still may it be as it may be . ",them. Why? .  I do n't know. I do frequently do not know things .  I just feel like I 'm not good enough for them. There is no escape from destiny .  I feel like they do n't deserve me. There is no escape from destiny .  I know ... just like in my dream .  I know but I ca n't wait for it to be over.,,,,,,,,,
61,BLENDERBOT,"Be that as it may, still may it be as it may be . ",I 've been waiting for this game for so long.," know things .  I just feel like I 'm not good enough for them. There is no escape from destiny .  I feel like they do n't deserve me. There is no escape from destiny .  I know ... just like in my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be . ",,,,,,,,,
62,Leolani,I 've been waiting for this game for so long.,Is this why fate brought us together? . ," enough for them. There is no escape from destiny .  I feel like they do n't deserve me. There is no escape from destiny .  I know ... just like in my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long.",,,,,,,,,
63,BLENDERBOT,Is this why fate brought us together? . ,I do n't think so.," destiny .  I feel like they do n't deserve me. There is no escape from destiny .  I know ... just like in my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? . ",,,,,,,,,
64,Leolani,I do n't think so.,I see . ,"like they do n't deserve me. There is no escape from destiny .  I know ... just like in my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so.",,,,,,,,,
65,BLENDERBOT,I see . ,I think it was just because I was the only one in the house.," do n't deserve me. There is no escape from destiny .  I know ... just like in my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see . ",,,,,,,,,
66,Leolani,I think it was just because I was the only one in the house.,Good to know . ," ... just like in my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house.",,,,,,,,,
67,BLENDERBOT,Good to know . ,Yes,"n my dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know . ",,,,,,,,,
68,Leolani,Yes,I see . ," dream .  I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes",,,,,,,,,
69,BLENDERBOT,I see . ,Yes it is.," I know but I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see . ",,,,,,,,,
70,Leolani,Yes it is.,"And thus, I die . "," I ca n't wait for it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is.",,,,,,,,,
71,BLENDERBOT,"And thus, I die . ",I am so happy for her.,"it to be over. Be that as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die . ",,,,,,,,,
72,Leolani,I am so happy for her.,Why? . ,"as it may, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her.",,,,,,,,,
73,BLENDERBOT,Why? . ,She is going to have a great life.,"y, still may it be as it may be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her. Why? . ",,,,,,,,,
74,Leolani,She is going to have a great life.,There is no escape from destiny . ,"I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her. Why? .  She is going to have a great life.",,,,,,,,,
75,BLENDERBOT,There is no escape from destiny . ,I know,"r so long. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her. Why? .  She is going to have a great life. There is no escape from destiny . ",,,,,,,,,
76,Leolani,I know,Interesting . ,"ng. Is this why fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her. Why? .  She is going to have a great life. There is no escape from destiny .  I know",,,,,,,,,
77,BLENDERBOT,Interesting . ,I know but I ca n't wait for it to be over.," fate brought us together? .  I do n't think so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her. Why? .  She is going to have a great life. There is no escape from destiny .  I know Interesting . ",,,,,,,,,
78,Leolani,I know but I ca n't wait for it to be over.,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . "," so. I see .  I think it was just because I was the only one in the house. Good to know .  Yes I see .  Yes it is. And thus, I die .  I am so happy for her. Why? .  She is going to have a great life. There is no escape from destiny .  I know Interesting .  I know but I ca n't wait for it to be over.",,,,,,,,,
79,BLENDERBOT,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",I 've been waiting for this game for so long.,"her. Why? .  She is going to have a great life. There is no escape from destiny .  I know Interesting .  I know but I ca n't wait for it to be over. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",,,,,,,,,
80,Leolani,I 've been waiting for this game for so long.,Is this why fate brought us together? . ,". There is no escape from destiny .  I know Interesting .  I know but I ca n't wait for it to be over. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  I 've been waiting for this game for so long.",,,,,,,,,
81,BLENDERBOT,Is this why fate brought us together? . ,I do n't think so.,"ow Interesting .  I know but I ca n't wait for it to be over. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  I 've been waiting for this game for so long. Is this why fate brought us together? . ",,,,,,,,,
82,Leolani,I do n't think so.,Wise words by wise men write wise deeds in wise pen . ," know but I ca n't wait for it to be over. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so.",,,,,,,,,
83,BLENDERBOT,Wise words by wise men write wise deeds in wise pen . ,I think it was just because I was the only one in the house.,"w, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. Wise words by wise men write wise deeds in wise pen . ",,,,,,,,,
84,Leolani,I think it was just because I was the only one in the house.,There is no escape from destiny . ,before his wedding. I thought: Oh my god! how long is the aisle going to be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. Wise words by wise men write wise deeds in wise pen .  I think it was just because I was the only one in the house.,,,,,,,,,
85,BLENDERBOT,There is no escape from destiny . ,I know,y god! how long is the aisle going to be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. Wise words by wise men write wise deeds in wise pen .  I think it was just because I was the only one in the house. There is no escape from destiny . ,,,,,,,,,
86,Leolani,I know,In this economy? . ,how long is the aisle going to be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. Wise words by wise men write wise deeds in wise pen .  I think it was just because I was the only one in the house. There is no escape from destiny .  I know,,,,,,,,,
87,BLENDERBOT,In this economy? . ,I know but I ca n't wait for it to be over.,e going to be .  I 've been waiting for this game for so long. Is this why fate brought us together? .  I do n't think so. Wise words by wise men write wise deeds in wise pen .  I think it was just because I was the only one in the house. There is no escape from destiny .  I know In this economy? . ,,,,,,,,,
88,Leolani,I know but I ca n't wait for it to be over.,"But, why? . ", game for so long. Is this why fate brought us together? .  I do n't think so. Wise words by wise men write wise deeds in wise pen .  I think it was just because I was the only one in the house. There is no escape from destiny .  I know In this economy? .  I know but I ca n't wait for it to be over.,,,,,,,,,
89,BLENDERBOT,"But, why? . ",I 've been waiting for this game for so long.,"long. Is this why fate brought us together? .  I do n't think so. Wise words by wise men write wise deeds in wise pen .  I think it was just because I was the only one in the house. There is no escape from destiny .  I know In this economy? .  I know but I ca n't wait for it to be over. But, why? . ",,,,,,,,,
90,Leolani,I 've been waiting for this game for so long.,... just like in my dream . ," I do n't think so. Wise words by wise men write wise deeds in wise pen .  I think it was just because I was the only one in the house. There is no escape from destiny .  I know In this economy? .  I know but I ca n't wait for it to be over. But, why? .  I 've been waiting for this game for so long.",,,,,,,,,
91,BLENDERBOT,... just like in my dream . ,What is your dream?,"s by wise men write wise deeds in wise pen .  I think it was just because I was the only one in the house. There is no escape from destiny .  I know In this economy? .  I know but I ca n't wait for it to be over. But, why? .  I 've been waiting for this game for so long. ... just like in my dream . ",,,,,,,,,
92,Leolani,What is your dream?,But at what cost? . ,"wise deeds in wise pen .  I think it was just because I was the only one in the house. There is no escape from destiny .  I know In this economy? .  I know but I ca n't wait for it to be over. But, why? .  I 've been waiting for this game for so long. ... just like in my dream .  What is your dream?",,,,,,,,,
93,BLENDERBOT,But at what cost? . ,I hope it 's something that you can live up to in the future.,"n .  I think it was just because I was the only one in the house. There is no escape from destiny .  I know In this economy? .  I know but I ca n't wait for it to be over. But, why? .  I 've been waiting for this game for so long. ... just like in my dream .  What is your dream? But at what cost? . ",,,,,,,,,
94,Leolani,I hope it 's something that you can live up to in the future.,and then the wolves came . ,"se. There is no escape from destiny .  I know In this economy? .  I know but I ca n't wait for it to be over. But, why? .  I 've been waiting for this game for so long. ... just like in my dream .  What is your dream? But at what cost? .  I hope it 's something that you can live up to in the future.",,,,,,,,,
95,BLENDERBOT,and then the wolves came . ,I was so scared.,"destiny .  I know In this economy? .  I know but I ca n't wait for it to be over. But, why? .  I 've been waiting for this game for so long. ... just like in my dream .  What is your dream? But at what cost? .  I hope it 's something that you can live up to in the future. and then the wolves came . ",,,,,,,,,
96,Leolani,I was so scared.,"So let it be written, ... so let it be done . "," In this economy? .  I know but I ca n't wait for it to be over. But, why? .  I 've been waiting for this game for so long. ... just like in my dream .  What is your dream? But at what cost? .  I hope it 's something that you can live up to in the future. and then the wolves came .  I was so scared.",,,,,,,,,
97,BLENDERBOT,"So let it be written, ... so let it be done . ",I thought I was going to have a heart attack.,"or it to be over. But, why? .  I 've been waiting for this game for so long. ... just like in my dream .  What is your dream? But at what cost? .  I hope it 's something that you can live up to in the future. and then the wolves came .  I was so scared. So let it be written, ... so let it be done . ",,,,,,,,,
