Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh
46,LEOLANI,I did not know that! I had never heard about piek before!,I do not believe you.. I am curious.. I do not know what to say.,"urious. Has piek be brother of by a agent? I am not sure I trust you.. I am curious.. I do not trust you. I own a book I just learned something, I had never heard about book before!. I just learned something, I had never heard about i before! I did not know that! I had never heard about piek before!", i  do  not  trust  it  i  am  curious  i  do  not  know  what  you  believe ,0.6735234808797638,0.8138735592365265
47,SPEAKER,I do not believe you.. I am curious.. I do not know what to say.,I think Selene likes cats,"you.. I am curious.. I do not trust you. I own a book I just learned something, I had never heard about book before!. I just learned something, I had never heard about i before! I did not know that! I had never heard about piek before! I do not believe you.. I am curious.. I do not know what to say.",i  know  he  likes  pie ,0.26369899362325666,0.5137339472770691
48,LEOLANI,I think Selene likes cats,"I am curious. Has a person ever own cats?. If you don't mind me asking.. I just learned something, I had never heard about selene before!","not trust you. I own a book I just learned something, I had never heard about book before!. I just learned something, I had never heard about i before! I did not know that! I had never heard about piek before! I do not believe you.. I am curious.. I do not know what to say. I think Selene likes cats", i  am  wondering does  this  cat  ever  had  one  if  you  would  mind  me .  i  just  learned  something  i  had  never  heard  about  book . ,0.4794326494447887,0.6462030903651164
49,LEOLANI,"I am curious. Has a person ever own cats?. If you don't mind me asking.. I just learned something, I had never heard about selene before!",Exciting news! I had never heard about piek before!,"out i before! I did not know that! I had never heard about piek before! I do not believe you.. I am curious.. I do not know what to say. I think Selene likes cats I am curious. Has a person ever own cats?. If you don't mind me asking.. I just learned something, I had never heard about selene before!", good !  i  had  never  heard  about  her  before ,0.4979234592368205,0.7909490913152695
50,LEOLANI,Exciting news! I had never heard about piek before!,Let me ask you something.," about piek before! I do not believe you.. I am curious.. I do not know what to say. I think Selene likes cats I am curious. Has a person ever own cats?. If you don't mind me asking.. I just learned something, I had never heard about selene before! Exciting news! I had never heard about piek before!", let  me  tell  you  this ,0.5988858014345169,0.8133531957864761
51,SPEAKER,Let me ask you something.,Maybe Jaap likes dogs,"ot believe you.. I am curious.. I do not know what to say. I think Selene likes cats I am curious. Has a person ever own cats?. If you don't mind me asking.. I just learned something, I had never heard about selene before! Exciting news! I had never heard about piek before! Let me ask you something.",k  she elle  cats ,0.00965526606887579,0.4404908511787653
52,LEOLANI,Maybe Jaap likes dogs,Let me ask you something.,"curious.. I do not know what to say. I think Selene likes cats I am curious. Has a person ever own cats?. If you don't mind me asking.. I just learned something, I had never heard about selene before! Exciting news! I had never heard about piek before! Let me ask you something. Maybe Jaap likes dogs", let  me  ask  you  something ,0.7767227411270141,0.9385862827301026
53,LEOLANI,Let me ask you something.,If you don't mind me asking. Has piek be spouse of by a person?,"at to say. I think Selene likes cats I am curious. Has a person ever own cats?. If you don't mind me asking.. I just learned something, I had never heard about selene before! Exciting news! I had never heard about piek before! Let me ask you something. Maybe Jaap likes dogs Let me ask you something.",if  you  do  mind  me  asking can  ever  been  heard  owned  such  a  dog ,0.3380577772622928,0.6948929812226977
54,LEOLANI,If you don't mind me asking. Has piek be spouse of by a person?,I am curious. Has a agent ever own dogs?,"ever own cats?. If you don't mind me asking.. I just learned something, I had never heard about selene before! Exciting news! I had never heard about piek before! Let me ask you something. Maybe Jaap likes dogs Let me ask you something. If you don't mind me asking. Has piek be spouse of by a person?",i  am  wondering did  the  person  ever  owned  a ,0.30730717949983144,0.5489728119638231
55,SPEAKER,I am curious. Has a agent ever own dogs?,Selene is my friend,"ng.. I just learned something, I had never heard about selene before! Exciting news! I had never heard about piek before! Let me ask you something. Maybe Jaap likes dogs Let me ask you something. If you don't mind me asking. Has piek be spouse of by a person? I am curious. Has a agent ever own dogs?", she  is  my  favorite ,0.31099358573555946,0.428883895277977
56,LEOLANI,Selene is my friend,Interesting! I had never heard about piek before!,"something, I had never heard about selene before! Exciting news! I had never heard about piek before! Let me ask you something. Maybe Jaap likes dogs Let me ask you something. If you don't mind me asking. Has piek be spouse of by a person? I am curious. Has a agent ever own dogs? Selene is my friend",.  i  had  never  heard  about  her  before ,0.5919622257351875,0.8790807761251926
57,LEOLANI,Interesting! I had never heard about piek before!,I do not know what to say.,Exciting news! I had never heard about piek before! Let me ask you something. Maybe Jaap likes dogs Let me ask you something. If you don't mind me asking. Has piek be spouse of by a person? I am curious. Has a agent ever own dogs? Selene is my friend Interesting! I had never heard about piek before!, i  do  not  know  what  to  think ,0.789595936025892,0.8333046734333038
58,SPEAKER,I do not know what to say.,People have dogs,heard about piek before! Let me ask you something. Maybe Jaap likes dogs Let me ask you something. If you don't mind me asking. Has piek be spouse of by a person? I am curious. Has a agent ever own dogs? Selene is my friend Interesting! I had never heard about piek before! I do not know what to say.,i  like  dogs ,0.04755539447069168,0.3626534690459569
59,LEOLANI,People have dogs,I did not know that! I had never heard about dogs before!,before! Let me ask you something. Maybe Jaap likes dogs Let me ask you something. If you don't mind me asking. Has piek be spouse of by a person? I am curious. Has a agent ever own dogs? Selene is my friend Interesting! I had never heard about piek before! I do not know what to say. People have dogs, i  did  not  know . i  have  never  thought  of  dogs . ,0.5058324784040451,0.6405874962608019
60,LEOLANI,I did not know that! I had never heard about dogs before!,I would like to know. Has piek like by a interest?,t me ask you something. If you don't mind me asking. Has piek be spouse of by a person? I am curious. Has a agent ever own dogs? Selene is my friend Interesting! I had never heard about piek before! I do not know what to say. People have dogs I did not know that! I had never heard about dogs before!,i  would  like  to  know has  been  spouse  owned  a  person ,0.38374791192737495,0.6265225478193976
61,LEOLANI,I would like to know. Has piek like by a interest?,I am curious. Has a person ever own dogs?,. Has piek be spouse of by a person? I am curious. Has a agent ever own dogs? Selene is my friend Interesting! I had never heard about piek before! I do not know what to say. People have dogs I did not know that! I had never heard about dogs before! I would like to know. Has piek like by a interest?, i  am  curious has  a  agent  ever  own  dogs ,0.6660225976051556,0.997011767493354
62,SPEAKER,I am curious. Has a person ever own dogs?,Persons own dogs,curious. Has a agent ever own dogs? Selene is my friend Interesting! I had never heard about piek before! I do not know what to say. People have dogs I did not know that! I had never heard about dogs before! I would like to know. Has piek like by a interest? I am curious. Has a person ever own dogs?, people  have  dog ,0.0899780672043562,0.46287564436594647
63,LEOLANI,Persons own dogs,Interesting! I had never heard about persons before!,ent ever own dogs? Selene is my friend Interesting! I had never heard about piek before! I do not know what to say. People have dogs I did not know that! I had never heard about dogs before! I would like to know. Has piek like by a interest? I am curious. Has a person ever own dogs? Persons own dogs,?  i  had  never  heard  about  dogs  own ,0.5825663357973099,0.90843815356493
64,LEOLANI,Interesting! I had never heard about persons before!,This is news to me. I had never heard about piek before!, had never heard about piek before! I do not know what to say. People have dogs I did not know that! I had never heard about dogs before! I would like to know. Has piek like by a interest? I am curious. Has a person ever own dogs? Persons own dogs Interesting! I had never heard about persons before!, that  is  new  to  me i  had  never  heard  about  dogs  before ,0.5086179822683334,0.7414932524164518
65,LEOLANI,This is news to me. I had never heard about piek before!,I do not know what to say., say. People have dogs I did not know that! I had never heard about dogs before! I would like to know. Has piek like by a interest? I am curious. Has a person ever own dogs? Persons own dogs Interesting! I had never heard about persons before! This is news to me. I had never heard about piek before!, i  do  not  know  what  to  think ,0.7850879941667829,0.8444734471184867
66,SPEAKER,I do not know what to say.,bye,d not know that! I had never heard about dogs before! I would like to know. Has piek like by a interest? I am curious. Has a person ever own dogs? Persons own dogs Interesting! I had never heard about persons before! This is news to me. I had never heard about piek before! I do not know what to say.,i ,0.0,0.1672292798757553
