Turn,Speaker,Cue,Response,Reference Response,Context,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
28,LEOLANI,I am curious. Has a agent ever be sister of piek?,If you don't mind me asking. Has a agent ever dislike piek?,,e! I am glad to have learned something new. I had never heard about niqee before! Niqee is my daughter I am curious. Has a agent ever be son of niqee? I am curious. Has a agent ever be sister of piek?,,,,,,,,,
29,SPEAKER,If you don't mind me asking. Has a agent ever dislike piek?,Sam is my son,,d about niqee before! Niqee is my daughter I am curious. Has a agent ever be son of niqee? I am curious. Has a agent ever be sister of piek? If you don't mind me asking. Has a agent ever dislike piek?,,,,,,,,,
30,LEOLANI,Sam is my son,I did not know that! I had never heard about sam before!,,before! Niqee is my daughter I am curious. Has a agent ever be son of niqee? I am curious. Has a agent ever be sister of piek? If you don't mind me asking. Has a agent ever dislike piek? Sam is my son,,,,,,,,,
31,LEOLANI,I did not know that! I had never heard about sam before!,If you don't mind me asking. Has piek like by a interest?,,er be son of niqee? I am curious. Has a agent ever be sister of piek? If you don't mind me asking. Has a agent ever dislike piek? Sam is my son I did not know that! I had never heard about sam before!,,,,,,,,,
32,LEOLANI,If you don't mind me asking. Has piek like by a interest?,I do not know what to say.,,er of piek? If you don't mind me asking. Has a agent ever dislike piek? Sam is my son I did not know that! I had never heard about sam before! If you don't mind me asking. Has piek like by a interest?,,,,,,,,,
33,SPEAKER,I do not know what to say.,I like you,,nd me asking. Has a agent ever dislike piek? Sam is my son I did not know that! I had never heard about sam before! If you don't mind me asking. Has piek like by a interest? I do not know what to say.,,,,,,,,,
34,LEOLANI,I like you,Ok I like you too!,,g. Has a agent ever dislike piek? Sam is my son I did not know that! I had never heard about sam before! If you don't mind me asking. Has piek like by a interest? I do not know what to say. I like you,,,,,,,,,
35,SPEAKER,Ok I like you too!,I went to a movie,, dislike piek? Sam is my son I did not know that! I had never heard about sam before! If you don't mind me asking. Has piek like by a interest? I do not know what to say. I like you Ok I like you too!,,,,,,,,,
36,LEOLANI,I went to a movie,I am glad to have learned something new. I had never heard about i before!,, is my son I did not know that! I had never heard about sam before! If you don't mind me asking. Has piek like by a interest? I do not know what to say. I like you Ok I like you too! I went to a movie,,,,,,,,,
37,LEOLANI,I am glad to have learned something new. I had never heard about i before!,Exciting news! I had never heard about piek before!,,don't mind me asking. Has piek like by a interest? I do not know what to say. I like you Ok I like you too! I went to a movie I am glad to have learned something new. I had never heard about i before!,,,,,,,,,
38,LEOLANI,Exciting news! I had never heard about piek before!,I am not sure I trust you.. Let me ask you something.. I do not know what to say.. I would like to know.. I did not know that! I had never heard about you before!,, do not know what to say. I like you Ok I like you too! I went to a movie I am glad to have learned something new. I had never heard about i before! Exciting news! I had never heard about piek before!,,,,,,,,,
39,SPEAKER,I am not sure I trust you.. Let me ask you something.. I do not know what to say.. I would like to know.. I did not know that! I had never heard about you before!,I read a book,, I had never heard about piek before! I am not sure I trust you.. Let me ask you something.. I do not know what to say.. I would like to know.. I did not know that! I had never heard about you before!,,,,,,,,,
40,LEOLANI,I read a book,Interesting! I had never heard about i before!. Let me ask you something. Has a agent ever own book?,,eard about piek before! I am not sure I trust you.. Let me ask you something.. I do not know what to say.. I would like to know.. I did not know that! I had never heard about you before! I read a book,,,,,,,,,
41,LEOLANI,Interesting! I had never heard about i before!. Let me ask you something. Has a agent ever own book?,I am curious. Has piek be brother of by a agent?,,say.. I would like to know.. I did not know that! I had never heard about you before! I read a book Interesting! I had never heard about i before!. Let me ask you something. Has a agent ever own book?,,,,,,,,,
42,LEOLANI,I am curious. Has piek be brother of by a agent?,I am not sure I trust you.. I am curious.. I do not trust you.,, I had never heard about you before! I read a book Interesting! I had never heard about i before!. Let me ask you something. Has a agent ever own book? I am curious. Has piek be brother of by a agent?,,,,,,,,,
43,SPEAKER,I am not sure I trust you.. I am curious.. I do not trust you.,I own a book,, I had never heard about i before!. Let me ask you something. Has a agent ever own book? I am curious. Has piek be brother of by a agent? I am not sure I trust you.. I am curious.. I do not trust you.,,,,,,,,,
44,LEOLANI,I own a book,"I just learned something, I had never heard about book before!. I just learned something, I had never heard about i before!",,heard about i before!. Let me ask you something. Has a agent ever own book? I am curious. Has piek be brother of by a agent? I am not sure I trust you.. I am curious.. I do not trust you. I own a book,,,,,,,,,
45,LEOLANI,"I just learned something, I had never heard about book before!. I just learned something, I had never heard about i before!",I did not know that! I had never heard about piek before!,," I am not sure I trust you.. I am curious.. I do not trust you. I own a book I just learned something, I had never heard about book before!. I just learned something, I had never heard about i before!",,,,,,,,,
46,LEOLANI,I did not know that! I had never heard about piek before!,I do not believe you.. I am curious.. I do not know what to say.,," you. I own a book I just learned something, I had never heard about book before!. I just learned something, I had never heard about i before! I did not know that! I had never heard about piek before!",,,,,,,,,
47,SPEAKER,I do not believe you.. I am curious.. I do not know what to say.,I think Selene likes cats,,"out book before!. I just learned something, I had never heard about i before! I did not know that! I had never heard about piek before! I do not believe you.. I am curious.. I do not know what to say.",,,,,,,,,
48,LEOLANI,I think Selene likes cats,"I am curious. Has a person ever own cats?. If you don't mind me asking.. I just learned something, I had never heard about selene before!",,"earned something, I had never heard about i before! I did not know that! I had never heard about piek before! I do not believe you.. I am curious.. I do not know what to say. I think Selene likes cats",,,,,,,,,
49,LEOLANI,"I am curious. Has a person ever own cats?. If you don't mind me asking.. I just learned something, I had never heard about selene before!",Exciting news! I had never heard about piek before!,,"curious.. I do not know what to say. I think Selene likes cats I am curious. Has a person ever own cats?. If you don't mind me asking.. I just learned something, I had never heard about selene before!",,,,,,,,,
50,LEOLANI,Exciting news! I had never heard about piek before!,Let me ask you something.,,"likes cats I am curious. Has a person ever own cats?. If you don't mind me asking.. I just learned something, I had never heard about selene before! Exciting news! I had never heard about piek before!",,,,,,,,,
51,SPEAKER,Let me ask you something.,Maybe Jaap likes dogs,,"as a person ever own cats?. If you don't mind me asking.. I just learned something, I had never heard about selene before! Exciting news! I had never heard about piek before! Let me ask you something.",,,,,,,,,
52,LEOLANI,Maybe Jaap likes dogs,Let me ask you something.,,"ats?. If you don't mind me asking.. I just learned something, I had never heard about selene before! Exciting news! I had never heard about piek before! Let me ask you something. Maybe Jaap likes dogs",,,,,,,,,
53,LEOLANI,Let me ask you something.,If you don't mind me asking. Has piek be spouse of by a person?,," asking.. I just learned something, I had never heard about selene before! Exciting news! I had never heard about piek before! Let me ask you something. Maybe Jaap likes dogs Let me ask you something.",,,,,,,,,
54,LEOLANI,If you don't mind me asking. Has piek be spouse of by a person?,I am curious. Has a agent ever own dogs?,,ne before! Exciting news! I had never heard about piek before! Let me ask you something. Maybe Jaap likes dogs Let me ask you something. If you don't mind me asking. Has piek be spouse of by a person?,,,,,,,,,
55,SPEAKER,I am curious. Has a agent ever own dogs?,Selene is my friend,,rd about piek before! Let me ask you something. Maybe Jaap likes dogs Let me ask you something. If you don't mind me asking. Has piek be spouse of by a person? I am curious. Has a agent ever own dogs?,,,,,,,,,
56,LEOLANI,Selene is my friend,Interesting! I had never heard about piek before!,,! Let me ask you something. Maybe Jaap likes dogs Let me ask you something. If you don't mind me asking. Has piek be spouse of by a person? I am curious. Has a agent ever own dogs? Selene is my friend,,,,,,,,,
57,LEOLANI,Interesting! I had never heard about piek before!,I do not know what to say.,,Let me ask you something. If you don't mind me asking. Has piek be spouse of by a person? I am curious. Has a agent ever own dogs? Selene is my friend Interesting! I had never heard about piek before!,,,,,,,,,
58,SPEAKER,I do not know what to say.,People have dogs,,f you don't mind me asking. Has piek be spouse of by a person? I am curious. Has a agent ever own dogs? Selene is my friend Interesting! I had never heard about piek before! I do not know what to say.,,,,,,,,,
59,LEOLANI,People have dogs,I did not know that! I had never heard about dogs before!,,me asking. Has piek be spouse of by a person? I am curious. Has a agent ever own dogs? Selene is my friend Interesting! I had never heard about piek before! I do not know what to say. People have dogs,,,,,,,,,
60,LEOLANI,I did not know that! I had never heard about dogs before!,I would like to know. Has piek like by a interest?,,. Has a agent ever own dogs? Selene is my friend Interesting! I had never heard about piek before! I do not know what to say. People have dogs I did not know that! I had never heard about dogs before!,,,,,,,,,
61,LEOLANI,I would like to know. Has piek like by a interest?,I am curious. Has a person ever own dogs?,,teresting! I had never heard about piek before! I do not know what to say. People have dogs I did not know that! I had never heard about dogs before! I would like to know. Has piek like by a interest?,,,,,,,,,
62,SPEAKER,I am curious. Has a person ever own dogs?,Persons own dogs,,fore! I do not know what to say. People have dogs I did not know that! I had never heard about dogs before! I would like to know. Has piek like by a interest? I am curious. Has a person ever own dogs?,,,,,,,,,
63,LEOLANI,Persons own dogs,Interesting! I had never heard about persons before!,,ow what to say. People have dogs I did not know that! I had never heard about dogs before! I would like to know. Has piek like by a interest? I am curious. Has a person ever own dogs? Persons own dogs,,,,,,,,,
64,LEOLANI,Interesting! I had never heard about persons before!,This is news to me. I had never heard about piek before!,, I had never heard about dogs before! I would like to know. Has piek like by a interest? I am curious. Has a person ever own dogs? Persons own dogs Interesting! I had never heard about persons before!,,,,,,,,,
65,LEOLANI,This is news to me. I had never heard about piek before!,I do not know what to say.,,w. Has piek like by a interest? I am curious. Has a person ever own dogs? Persons own dogs Interesting! I had never heard about persons before! This is news to me. I had never heard about piek before!,,,,,,,,,
66,SPEAKER,I do not know what to say.,bye,,est? I am curious. Has a person ever own dogs? Persons own dogs Interesting! I had never heard about persons before! This is news to me. I had never heard about piek before! I do not know what to say.,,,,,,,,,
